Trip_ID,Route_ID,Bus_Stop_ID,Scheduled_Arrival,Actual_Arrival,Delay_Minutes,Passenger_Count,Day_of_Week,Weather_Condition,Latitude,Longitude,Bus_Type
TRIP00001,LAG-101,CMS,2024-01-01 14:23:00,2024-01-01 14:23:00,0,23,Tuesday,Rainy,6.457299,3.339874,Standard
TRIP00002,LAG-101,Ojuelegba,2024-01-02 01:09:00,2024-01-02 01:19:00,10,44,Thursday,Sunny,6.535195,3.450372,Standard
TRIP00003,LAG-101,Ikeja,2024-01-01 12:56:00,2024-01-01 12:56:00,0,31,Friday,Sunny,6.462096,3.381721,Articulated
TRIP00004,LAG-102,Lekki,2024-01-01 12:31:00,2024-01-01 12:31:00,0,32,Thursday,Foggy,6.50559,3.379509,Standard
TRIP00005,LAG-102,Lekki,2024-01-01 16:36:00,2024-01-01 16:38:00,2,33,Wednesday,Rainy,6.494113,3.407532,Standard
TRIP00006,LAG-201,Ojuelegba,2024-01-01 08:09:00,2024-01-01 08:14:00,5,28,Thursday,Sunny,6.464943,3.41742,Mini
TRIP00007,LAG-201,Berger,2024-01-01 06:28:00,2024-01-01 06:28:00,0,41,Saturday,Cloudy,6.459842,3.341059,Articulated
TRIP00008,LAG-101,Lekki,2024-01-01 07:41:00,2024-01-01 07:56:00,15,32,Friday,Foggy,6.598986,3.467428,Articulated
TRIP00009,LAG-301,VI,2024-01-02 00:42:00,2024-01-02 00:42:00,0,44,Tuesday,Sunny,6.507027,3.350746,Standard
TRIP00010,LAG-102,Berger,2024-01-01 07:43:00,2024-01-01 07:43:00,0,30,Sunday,Rainy,6.436018,3.484584,Standard
TRIP00011,LAG-202,Berger,2024-01-01 20:28:00,2024-01-01 20:28:00,0,21,Saturday,Foggy,6.521012,3.422941,Standard
TRIP00012,LAG-201,VI,2024-01-01 12:09:00,2024-01-01 12:09:00,0,56,Saturday,Foggy,6.599677,3.461773,Articulated
TRIP00013,LAG-101,Yaba,2024-01-01 23:13:00,2024-01-01 23:28:00,15,43,Saturday,Rainy,6.591328,3.345044,Standard
TRIP00014,LAG-202,Lekki,2024-01-01 14:12:00,2024-01-01 14:12:00,0,53,Saturday,Rainy,6.437915,3.385306,Articulated
TRIP00015,LAG-201,CMS,2024-01-01 12:49:00,2024-01-01 12:49:00,0,51,Sunday,Sunny,6.492432,3.377759,Mini
TRIP00016,LAG-202,Berger,2024-01-01 07:15:00,2024-01-01 07:15:00,0,31,Tuesday,Foggy,6.454662,3.466373,Standard
TRIP00017,LAG-202,Lekki,2024-01-02 02:56:00,2024-01-02 02:56:00,0,48,Thursday,Rainy,6.557576,3.461116,Mini
TRIP00018,LAG-102,Ikeja,2024-01-02 00:09:00,2024-01-02 00:09:00,0,53,Friday,Foggy,6.492732,3.349698,Articulated
